query_id,candidate_id,llm_score,llm_rank
1,a,5.0,1
1,b,1.0,5
1,c,5.0,2
1,d,5.0,3
1,e,1.0,6
1,f,4.0,4
1,g,1.0,7
2,a,3.0,4
2,b,4.0,3
2,c,5.0,1
2,d,1.0,5
2,e,1.0,6
2,f,5.0,2
3,a,5.0,1
3,b,1.0,4
3,c,1.0,5
3,d,2.0,3
3,e,3.0,2
4,a,4.0,2
4,b,2.0,4
4,c,5.0,1
4,d,1.0,5
4,e,4.0,3
5,a,5.0,1
5,b,5.0,2
5,c,4.0,3
5,d,1.0,5
5,e,4.0,4
6,a,5.0,1
6,b,2.0,4
6,c,5.0,2
6,d,1.0,5
6,e,5.0,3
7,a,2.0,3
7,b,5.0,1
7,c,3.0,2
7,d,1.0,5
7,e,2.0,4
8,a,4.0,2
8,b,5.0,1
8,c,4.0,3
8,d,1.0,4
8,e,1.0,5
9,a,4.0,2
9,b,5.0,1
9,c,2.0,3
9,d,1.0,5
9,e,2.0,4
10,a,5.0,1
10,b,4.0,2
10,c,4.0,3
10,d,1.0,5
10,e,4.0,4
11,a,2.0,2
11,b,5.0,1
11,c,1.0,3
11,d,1.0,4
11,e,1.0,5
12,a,3.0,4
12,b,5.0,1
12,c,4.0,3
12,d,5.0,2
12,e,2.0,5
13,a,2.0,1
13,b,2.0,2
13,c,1.0,3
13,d,1.0,4
13,e,1.0,5
14,a,5.0,1
14,b,5.0,2
14,c,2.0,4
14,d,1.0,5
14,e,4.0,3
15,a,5.0,1
15,b,3.0,4
15,c,5.0,2
15,d,1.0,5
15,e,4.0,3
16,a,5.0,1
16,b,5.0,2
16,c,5.0,3
16,d,1.0,5
16,e,3.0,4
17,a,4.0,3
17,b,5.0,1
17,c,5.0,2
17,d,1.0,4
17,e,1.0,5
18,a,5.0,1
18,b,2.0,2
18,c,1.0,3
18,d,1.0,4
18,e,1.0,5
19,a,5.0,1
19,b,5.0,2
19,c,3.0,3
19,d,1.0,5
19,e,2.0,4
20,a,4.0,3
20,b,5.0,1
20,c,5.0,2
20,d,1.0,5
20,e,4.0,4
